measurement,interval-time,id,distance
breakout,3.021,1,7.5
cycle,0.602,1,
cycle,1.468,1,
cycle,1.503,1,
cycle,1.563,1,
cycle,1.573,1,
cycle,1.455,1,
cycle,2.94,1,
breakout,2.958,2,8
cycle,0.884,2,
cycle,1.559,2,
cycle,1.561,2,
cycle,1.518,2,
cycle,1.625,2,
cycle,1.791,2,
cycle,3.2,2,
cycle,1.721,3,8
cycle,1.075,3,
cycle,1.716,3,
cycle,1.566,3,
cycle,1.451,3,
cycle,1.454,3,
cycle,1.494,3,
cycle,3.8,3,
breakout,3.104,4,8.5
cycle,0.761,4,
cycle,1.405,4,
cycle,1.339,4,
cycle,1.435,4,
cycle,1.439,4,
cycle,1.481,4,
cycle,1.438,4,
cycle,1.318,4,
breakout,2.712,5,7.5
cycle,0.721,5,
cycle,1.429,5,
cycle,1.373,5,
cycle,1.496,5,
cycle,1.55,5,
cycle,1.565,5,
cycle,3.1,5,
breakout,2.927,6,8
cycle,0.538,6,
cycle,1.276,6,
cycle,1.346,6,
cycle,1.341,6,
cycle,1.514,6,
cycle,1.293,6,
cycle,3.116,6,
breakout,3.086,7,8
cycle,0.655,7,
cycle,1.472,7,
cycle,1.284,7,
cycle,1.286,7,
cycle,1.547,7,
cycle,1.341,7,
cycle,2.672,7,
