measurement,interval-time,split-distnace,split-time
breakout,5.63,15,5.973
cycle,1.75,25,11.131
cycle,1.046,50,24.238
cycle,1.108,65,31.173
cycle,1.176,75,37.461
breakout,6.837,90,44.782
cycle,1.323,100,51.169
cycle,0.9,,
cycle,1.132,,
cycle,1.272,,
cycle,1.202,,
breakout,6.869,,
cycle,1.365,,
cycle,1.067,,
cycle,1.16,,
cycle,1.176,,
cycle,1.287,,
cycle,1.533,,
breakout,5.64,,
cycle,1.141,,
cycle,1.57,,
cycle,1.166,,
cycle,1.186,,
cycle,1.188,,
cycle,1.274,,
cycle,1.162,,
