measurement,interval-time,split-distnace,split-time
breakout,6,15,7.8378
cycle,1.549,25,13.063
cycle,1.062,40,22.73
cycle,1.293,50,30.04
cycle,1.025,65,39.409
cycle,1.017,75,46.593
breakout,7.11,90,56.831
cycle,1.547,100,64.84
cycle,1.023,,
cycle,1.075,,
cycle,1.186,,
cycle,1.253,,
cycle,1.348,,
cycle,1.118,,
cycle,1.013,,
breakout,6.108,,
cycle,1.13,,
cycle,1.346,,
cycle,1.057,,
cycle,1.284,,
cycle,1.119,,
cycle,1.355,,
cycle,1.117,,
cycle,1.172,,
cycle,1.078,,
breakout,5.612,,
cycle,1.322,,
cycle,1.229,,
cycle,1.112,,
cycle,1.151,,
cycle,1.173,,
cycle,1.17,,
cycle,1.167,,
cycle,1.281,,
cycle,1.116,,
cycle,1.018,,
